Time (a-t-u) 	 x (a-l-u) 	 y (a-l-u)
1.706e+01	-2.191e-01	-9.757e-01
1.708e+01	-1.951e-01	-9.808e-01
1.711e+01	-1.710e-01	-9.853e-01
1.713e+01	-1.467e-01	-9.892e-01
1.716e+01	-1.224e-01	-9.925e-01
1.718e+01	-9.802e-02	-9.952e-01
1.721e+01	-7.356e-02	-9.973e-01
1.723e+01	-4.907e-02	-9.988e-01
1.725e+01	-2.454e-02	-9.997e-01
1.728e+01	1.894e-13	-1.000e+00
1.730e+01	2.454e-02	-9.997e-01
1.733e+01	4.907e-02	-9.988e-01
1.735e+01	7.356e-02	-9.973e-01
1.738e+01	9.802e-02	-9.952e-01
1.740e+01	1.224e-01	-9.925e-01
1.743e+01	1.467e-01	-9.892e-01
1.745e+01	1.710e-01	-9.853e-01
1.748e+01	1.951e-01	-9.808e-01
1.750e+01	2.191e-01	-9.757e-01
1.752e+01	2.430e-01	-9.700e-01
1.755e+01	2.667e-01	-9.638e-01
1.757e+01	2.903e-01	-9.569e-01
1.760e+01	3.137e-01	-9.495e-01
1.762e+01	3.369e-01	-9.415e-01
1.765e+01	3.599e-01	-9.330e-01
1.767e+01	3.827e-01	-9.239e-01
1.770e+01	4.052e-01	-9.142e-01
1.772e+01	4.276e-01	-9.040e-01
1.775e+01	4.496e-01	-8.932e-01
1.777e+01	4.714e-01	-8.819e-01
1.779e+01	4.929e-01	-8.701e-01
1.782e+01	5.141e-01	-8.577e-01
1.784e+01	5.350e-01	-8.449e-01
1.787e+01	5.556e-01	-8.315e-01
1.789e+01	5.758e-01	-8.176e-01
1.792e+01	5.957e-01	-8.032e-01
1.794e+01	6.152e-01	-7.883e-01
1.797e+01	6.344e-01	-7.730e-01
1.799e+01	6.532e-01	-7.572e-01
1.802e+01	6.716e-01	-7.410e-01
1.804e+01	6.895e-01	-7.242e-01
1.806e+01	7.071e-01	-7.071e-01
1.809e+01	7.242e-01	-6.895e-01
1.811e+01	7.410e-01	-6.716e-01
1.814e+01	7.572e-01	-6.532e-01
1.816e+01	7.730e-01	-6.344e-01
1.819e+01	7.883e-01	-6.152e-01
1.821e+01	8.032e-01	-5.957e-01
1.824e+01	8.176e-01	-5.758e-01
1.826e+01	8.315e-01	-5.556e-01
1.829e+01	8.449e-01	-5.350e-01
1.831e+01	8.577e-01	-5.141e-01
1.833e+01	8.701e-01	-4.929e-01
1.836e+01	8.819e-01	-4.714e-01
1.838e+01	8.932e-01	-4.496e-01
1.841e+01	9.040e-01	-4.276e-01
1.843e+01	9.142e-01	-4.052e-01
1.846e+01	9.239e-01	-3.827e-01
1.848e+01	9.330e-01	-3.599e-01
1.851e+01	9.415e-01	-3.369e-01
1.853e+01	9.495e-01	-3.137e-01
1.856e+01	9.569e-01	-2.903e-01
1.858e+01	9.638e-01	-2.667e-01
1.860e+01	9.700e-01	-2.430e-01
1.863e+01	9.757e-01	-2.191e-01
1.865e+01	9.808e-01	-1.951e-01
1.868e+01	9.853e-01	-1.710e-01
1.870e+01	9.892e-01	-1.467e-01
1.873e+01	9.925e-01	-1.224e-01
1.875e+01	9.952e-01	-9.802e-02
1.878e+01	9.973e-01	-7.356e-02
1.880e+01	9.988e-01	-4.907e-02
1.883e+01	9.997e-01	-2.454e-02
1.885e+01	1.000e+00	1.272e-13
1.887e+01	9.997e-01	2.454e-02
1.890e+01	9.988e-01	4.907e-02
1.892e+01	9.973e-01	7.356e-02
1.895e+01	9.952e-01	9.802e-02
1.897e+01	9.925e-01	1.224e-01
1.900e+01	9.892e-01	1.467e-01
1.902e+01	9.853e-01	1.710e-01
1.905e+01	9.808e-01	1.951e-01
1.907e+01	9.757e-01	2.191e-01
1.909e+01	9.700e-01	2.430e-01
1.912e+01	9.638e-01	2.667e-01
1.914e+01	9.569e-01	2.903e-01
1.917e+01	9.495e-01	3.137e-01
1.919e+01	9.415e-01	3.369e-01
1.922e+01	9.330e-01	3.599e-01
1.924e+01	9.239e-01	3.827e-01
1.927e+01	9.142e-01	4.052e-01
1.929e+01	9.040e-01	4.276e-01
1.932e+01	8.932e-01	4.496e-01
1.934e+01	8.819e-01	4.714e-01
1.936e+01	8.701e-01	4.929e-01
1.939e+01	8.577e-01	5.141e-01
1.941e+01	8.449e-01	5.350e-01
1.944e+01	8.315e-01	5.556e-01
1.946e+01	8.176e-01	5.758e-01
1.949e+01	8.032e-01	5.957e-01
1.951e+01	7.883e-01	6.152e-01
1.954e+01	7.730e-01	6.344e-01
1.956e+01	7.572e-01	6.532e-01
1.959e+01	7.410e-01	6.716e-01
1.961e+01	7.242e-01	6.895e-01
1.963e+01	7.071e-01	7.071e-01
1.966e+01	6.895e-01	7.242e-01
1.968e+01	6.716e-01	7.410e-01
1.971e+01	6.532e-01	7.572e-01
1.973e+01	6.344e-01	7.730e-01
1.976e+01	6.152e-01	7.883e-01
1.978e+01	5.957e-01	8.032e-01
1.981e+01	5.758e-01	8.176e-01
1.983e+01	5.556e-01	8.315e-01
1.986e+01	5.350e-01	8.449e-01
1.988e+01	5.141e-01	8.577e-01
1.990e+01	4.929e-01	8.701e-01
1.993e+01	4.714e-01	8.819e-01
1.995e+01	4.496e-01	8.932e-01
1.998e+01	4.276e-01	9.040e-01
2.000e+01	4.052e-01	9.142e-01
2.003e+01	3.827e-01	9.239e-01
2.005e+01	3.599e-01	9.330e-01
2.008e+01	3.369e-01	9.415e-01
2.010e+01	3.137e-01	9.495e-01
2.013e+01	2.903e-01	9.569e-01
2.015e+01	2.667e-01	9.638e-01
2.017e+01	2.430e-01	9.700e-01
2.020e+01	2.191e-01	9.757e-01
2.022e+01	1.951e-01	9.808e-01
2.025e+01	1.710e-01	9.853e-01
2.027e+01	1.467e-01	9.892e-01
2.030e+01	1.224e-01	9.925e-01
2.032e+01	9.802e-02	9.952e-01
2.035e+01	7.356e-02	9.973e-01
2.037e+01	4.907e-02	9.988e-01
2.040e+01	2.454e-02	9.997e-01
2.042e+01	-6.493e-14	1.000e+00
2.044e+01	-2.454e-02	9.997e-01
2.047e+01	-4.907e-02	9.988e-01
2.049e+01	-7.356e-02	9.973e-01
2.052e+01	-9.802e-02	9.952e-01
2.054e+01	-1.224e-01	9.925e-01
2.057e+01	-1.467e-01	9.892e-01
2.059e+01	-1.710e-01	9.853e-01
2.062e+01	-1.951e-01	9.808e-01
2.064e+01	-2.191e-01	9.757e-01
2.067e+01	-2.430e-01	9.700e-01
2.069e+01	-2.667e-01	9.638e-01
2.071e+01	-2.903e-01	9.569e-01
2.074e+01	-3.137e-01	9.495e-01
2.076e+01	-3.369e-01	9.415e-01
2.079e+01	-3.599e-01	9.330e-01
2.081e+01	-3.827e-01	9.239e-01
2.084e+01	-4.052e-01	9.142e-01
2.086e+01	-4.276e-01	9.040e-01
2.089e+01	-4.496e-01	8.932e-01
2.091e+01	-4.714e-01	8.819e-01
2.094e+01	-4.929e-01	8.701e-01
2.096e+01	-5.141e-01	8.577e-01
2.098e+01	-5.350e-01	8.449e-01
2.101e+01	-5.556e-01	8.315e-01
2.103e+01	-5.758e-01	8.176e-01
2.106e+01	-5.957e-01	8.032e-01
2.108e+01	-6.152e-01	7.883e-01
2.111e+01	-6.344e-01	7.730e-01
2.113e+01	-6.532e-01	7.572e-01
2.116e+01	-6.716e-01	7.410e-01
2.118e+01	-6.895e-01	7.242e-01
2.121e+01	-7.071e-01	7.071e-01
2.123e+01	-7.242e-01	6.895e-01
2.125e+01	-7.410e-01	6.716e-01
2.128e+01	-7.572e-01	6.532e-01
2.130e+01	-7.730e-01	6.344e-01
2.133e+01	-7.883e-01	6.152e-01
2.135e+01	-8.032e-01	5.957e-01
2.138e+01	-8.176e-01	5.758e-01
2.140e+01	-8.315e-01	5.556e-01
2.143e+01	-8.449e-01	5.350e-01
2.145e+01	-8.577e-01	5.141e-01
2.148e+01	-8.701e-01	4.929e-01
2.150e+01	-8.819e-01	4.714e-01
2.152e+01	-8.932e-01	4.496e-01
2.155e+01	-9.040e-01	4.276e-01
2.157e+01	-9.142e-01	4.052e-01
2.160e+01	-9.239e-01	3.827e-01
2.162e+01	-9.330e-01	3.599e-01
2.165e+01	-9.415e-01	3.369e-01
2.167e+01	-9.495e-01	3.137e-01
2.170e+01	-9.569e-01	2.903e-01
2.172e+01	-9.638e-01	2.667e-01
2.175e+01	-9.700e-01	2.430e-01
2.177e+01	-9.757e-01	2.191e-01
2.179e+01	-9.808e-01	1.951e-01
2.182e+01	-9.853e-01	1.710e-01
2.184e+01	-9.892e-01	1.467e-01
2.187e+01	-9.925e-01	1.224e-01
2.189e+01	-9.952e-01	9.802e-02
2.192e+01	-9.973e-01	7.356e-02
2.194e+01	-9.988e-01	4.907e-02
2.197e+01	-9.997e-01	2.454e-02
2.199e+01	-1.000e+00	-2.695e-15
2.202e+01	-9.997e-01	-2.454e-02
2.204e+01	-9.988e-01	-4.907e-02
2.206e+01	-9.973e-01	-7.356e-02
2.209e+01	-9.952e-01	-9.802e-02
2.211e+01	-9.925e-01	-1.224e-01
2.214e+01	-9.892e-01	-1.467e-01
2.216e+01	-9.853e-01	-1.710e-01
2.219e+01	-9.808e-01	-1.951e-01
2.221e+01	-9.757e-01	-2.191e-01
2.224e+01	-9.700e-01	-2.430e-01
2.226e+01	-9.638e-01	-2.667e-01
2.229e+01	-9.569e-01	-2.903e-01
2.231e+01	-9.495e-01	-3.137e-01
2.233e+01	-9.415e-01	-3.369e-01
2.236e+01	-9.330e-01	-3.599e-01
2.238e+01	-9.239e-01	-3.827e-01
2.241e+01	-9.142e-01	-4.052e-01
2.243e+01	-9.040e-01	-4.276e-01
2.246e+01	-8.932e-01	-4.496e-01
2.248e+01	-8.819e-01	-4.714e-01
2.251e+01	-8.701e-01	-4.929e-01
2.253e+01	-8.577e-01	-5.141e-01
2.256e+01	-8.449e-01	-5.350e-01
2.258e+01	-8.315e-01	-5.556e-01
2.260e+01	-8.176e-01	-5.758e-01
2.263e+01	-8.032e-01	-5.957e-01
2.265e+01	-7.883e-01	-6.152e-01
2.268e+01	-7.730e-01	-6.344e-01
2.270e+01	-7.572e-01	-6.532e-01
2.273e+01	-7.410e-01	-6.716e-01
2.275e+01	-7.242e-01	-6.895e-01
2.278e+01	-7.071e-01	-7.071e-01
2.280e+01	-6.895e-01	-7.242e-01
2.283e+01	-6.716e-01	-7.410e-01
2.285e+01	-6.532e-01	-7.572e-01
2.287e+01	-6.344e-01	-7.730e-01
2.290e+01	-6.152e-01	-7.883e-01
2.292e+01	-5.957e-01	-8.032e-01
2.295e+01	-5.758e-01	-8.176e-01
2.297e+01	-5.556e-01	-8.315e-01
2.300e+01	-5.350e-01	-8.449e-01
2.302e+01	-5.141e-01	-8.577e-01
2.305e+01	-4.929e-01	-8.701e-01
2.307e+01	-4.714e-01	-8.819e-01
2.310e+01	-4.496e-01	-8.932e-01
2.312e+01	-4.276e-01	-9.040e-01
2.314e+01	-4.052e-01	-9.142e-01
2.317e+01	-3.827e-01	-9.239e-01
2.319e+01	-3.599e-01	-9.330e-01
2.322e+01	-3.369e-01	-9.415e-01
2.324e+01	-3.137e-01	-9.495e-01
2.327e+01	-2.903e-01	-9.569e-01
2.329e+01	-2.667e-01	-9.638e-01
2.332e+01	-2.430e-01	-9.700e-01
2.334e+01	-2.191e-01	-9.757e-01
2.337e+01	-1.951e-01	-9.808e-01
2.339e+01	-1.710e-01	-9.853e-01
2.341e+01	-1.467e-01	-9.892e-01
2.344e+01	-1.224e-01	-9.925e-01
2.346e+01	-9.802e-02	-9.952e-01
2.349e+01	-7.356e-02	-9.973e-01
2.351e+01	-4.907e-02	-9.988e-01
2.354e+01	-2.454e-02	-9.997e-01
2.356e+01	-5.954e-14	-1.000e+00
2.359e+01	2.454e-02	-9.997e-01
2.361e+01	4.907e-02	-9.988e-01
2.364e+01	7.356e-02	-9.973e-01
2.366e+01	9.802e-02	-9.952e-01
2.368e+01	1.224e-01	-9.925e-01
2.371e+01	1.467e-01	-9.892e-01
2.373e+01	1.710e-01	-9.853e-01
2.376e+01	1.951e-01	-9.808e-01
2.378e+01	2.191e-01	-9.757e-01
2.381e+01	2.430e-01	-9.700e-01
2.383e+01	2.667e-01	-9.638e-01
2.386e+01	2.903e-01	-9.569e-01
2.388e+01	3.137e-01	-9.495e-01
2.391e+01	3.369e-01	-9.415e-01
2.393e+01	3.599e-01	-9.330e-01
2.395e+01	3.827e-01	-9.239e-01
2.398e+01	4.052e-01	-9.142e-01
2.400e+01	4.276e-01	-9.040e-01
2.403e+01	4.496e-01	-8.932e-01
2.405e+01	4.714e-01	-8.819e-01
2.408e+01	4.929e-01	-8.701e-01
2.410e+01	5.141e-01	-8.577e-01
2.413e+01	5.350e-01	-8.449e-01
2.415e+01	5.556e-01	-8.315e-01
2.418e+01	5.758e-01	-8.176e-01
2.420e+01	5.957e-01	-8.032e-01
2.422e+01	6.152e-01	-7.883e-01
2.425e+01	6.344e-01	-7.730e-01
2.427e+01	6.532e-01	-7.572e-01
2.430e+01	6.716e-01	-7.410e-01
2.432e+01	6.895e-01	-7.242e-01
2.435e+01	7.071e-01	-7.071e-01
2.437e+01	7.242e-01	-6.895e-01
2.440e+01	7.410e-01	-6.716e-01
2.442e+01	7.572e-01	-6.532e-01
2.445e+01	7.730e-01	-6.344e-01
2.447e+01	7.883e-01	-6.152e-01
2.449e+01	8.032e-01	-5.957e-01
2.452e+01	8.176e-01	-5.758e-01
2.454e+01	8.315e-01	-5.556e-01
2.457e+01	8.449e-01	-5.350e-01
2.459e+01	8.577e-01	-5.141e-01
2.462e+01	8.701e-01	-4.929e-01
2.464e+01	8.819e-01	-4.714e-01
2.467e+01	8.932e-01	-4.496e-01
2.469e+01	9.040e-01	-4.276e-01
2.472e+01	9.142e-01	-4.052e-01
2.474e+01	9.239e-01	-3.827e-01
2.476e+01	9.330e-01	-3.599e-01
2.479e+01	9.415e-01	-3.369e-01
2.481e+01	9.495e-01	-3.137e-01
2.484e+01	9.569e-01	-2.903e-01
2.486e+01	9.638e-01	-2.667e-01
2.489e+01	9.700e-01	-2.430e-01
2.491e+01	9.757e-01	-2.191e-01
2.494e+01	9.808e-01	-1.951e-01
2.496e+01	9.853e-01	-1.710e-01
2.499e+01	9.892e-01	-1.467e-01
2.501e+01	9.925e-01	-1.224e-01
2.503e+01	9.952e-01	-9.802e-02
2.506e+01	9.973e-01	-7.356e-02
2.508e+01	9.988e-01	-4.907e-02
2.511e+01	9.997e-01	-2.454e-02
2.513e+01	1.000e+00	-1.218e-13
